vendor_grouped_Apache,vendor_grouped_Apple,vendor_grouped_Cisco,vendor_grouped_D-Link,vendor_grouped_Fortinet,vendor_grouped_Google,vendor_grouped_Ivanti,vendor_grouped_Microsoft,vendor_grouped_Oracle,vendor_grouped_Other,cwe_grouped_CWE-20,cwe_grouped_CWE-22,cwe_grouped_CWE-287,cwe_grouped_CWE-416,cwe_grouped_CWE-502,cwe_grouped_CWE-78,cwe_grouped_CWE-787,cwe_grouped_CWE-94,cwe_grouped_Other,cwe_grouped_Unknown,remediation_days
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,181
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,181
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,181
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,182
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,21
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,181
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,21
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,181
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,21
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,182
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,21
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,21
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,21
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21
